时间,qx,qy,qz,qw
0.74,-0.1240762,0.4275154,-0.8857155,0.1316956
0.76,-0.1303067,0.4170228,-0.8877538,0.1449324
0.78,-0.1358947,0.4063057,-0.8896998,0.1577422
0.80,-0.1408443,0.3953921,-0.8915628,0.1701287
0.82,-0.1451612,0.3843094,-0.8933507,0.1820961
0.84,-0.1488527,0.3730843,-0.8950703,0.1936493
0.86,-0.1519277,0.3617431,-0.8967271,0.2047934
0.88,-0.1543966,0.3503110,-0.8983257,0.2155339
0.90,-0.1562711,0.3388124,-0.8998696,0.2258766
0.92,-0.1575644,0.3272709,-0.9013614,0.2358279
0.94,-0.1582910,0.3157088,-0.9028033,0.2453938
0.96,-0.1584666,0.3041475,-0.9041964,0.2545810
0.98,-0.1581080,0.2926068,-0.9055417,0.2633959
1.00,-0.1572330,0.2811056,-0.9068393,0.2718453
1.02,-0.1558603,0.2696611,-0.9080894,0.2799358
1.04,-0.1540094,0.2582892,-0.9092918,0.2876739
1.06,-0.1517005,0.2470042,-0.9104459,0.2950663
1.08,-0.1489543,0.2358189,-0.9115514,0.3021195
1.10,-0.1457917,0.2247444,-0.9126077,0.3088396
1.12,-0.1422342,0.2137904,-0.9136144,0.3152330
1.14,-0.1383032,0.2029648,-0.9145711,0.3213056
1.16,-0.1340202,0.1922740,-0.9154775,0.3270631
1.18,-0.1294064,0.1817229,-0.9163335,0.3325111
1.20,-0.1244831,0.1713146,-0.9171392,0.3376550
1.22,-0.1192709,0.1610510,-0.9178949,0.3424997
1.24,-0.1137904,0.1509325,-0.9186008,0.3470500
1.26,-0.1080615,0.1409580,-0.9192576,0.3513105
1.28,-0.1021034,0.1311252,-0.9198660,0.3552853
1.30,-0.0959351,0.1214306,-0.9204268,0.3589784
1.32,-0.0895746,0.1118695,-0.9209411,0.3623935
1.34,-0.0830396,0.1024361,-0.9214099,0.3655340
1.36,-0.0763468,0.0931238,-0.9218343,0.3684029
1.38,-0.0695126,0.0839249,-0.9222155,0.3710031
1.40,-0.0625525,0.0748311,-0.9225546,0.3733371
1.42,-0.0554815,0.0658332,-0.9228528,0.3754072
1.44,-0.0483141,0.0569214,-0.9231112,0.3772155
1.46,-0.0410641,0.0480855,-0.9233307,0.3787636
1.48,-0.0337451,0.0393145,-0.9235124,0.3800532
1.50,-0.0263701,0.0305974,-0.9236571,0.3810853
1.52,-0.0189518,0.0219227,-0.9237653,0.3818611
1.54,-0.0115026,0.0132784,-0.9238376,0.3823813
1.56,-0.0040347,0.0046528,-0.9238744,0.3826463
1.58,0.0034396,-0.0039663,-0.9238758,0.3826565
1.60,0.0109084,-0.0125910,-0.9238418,0.3824117
1.62,0.0183596,-0.0212333,-0.9237724,0.3819119
1.64,0.0257808,-0.0299052,-0.9236670,0.3811565
1.66,0.0331597,-0.0386185,-0.9235253,0.3801448
1.68,0.0404837,-0.0473848,-0.9233466,0.3788758
1.70,0.0477396,-0.0562151,-0.9231300,0.3773483
1.72,0.0549141,-0.0651205,-0.9228748,0.3755608
1.74,0.0619933,-0.0741112,-0.9225798,0.3735116
1.76,0.0689627,-0.0831970,-0.9222440,0.3711986
1.78,0.0758076,-0.0923872,-0.9218662,0.3686197
1.80,0.0825122,-0.1016902,-0.9214453,0.3657723
1.82,0.0890604,-0.1111137,-0.9209801,0.3626536
1.84,0.0954354,-0.1206644,-0.9204695,0.3592605
1.86,0.1016197,-0.1303482,-0.9199124,0.3555896
1.88,0.1075952,-0.1401698,-0.9193078,0.3516374
1.90,0.1133431,-0.1501329,-0.9186549,0.3473998
1.92,0.1188441,-0.1602400,-0.9179529,0.3428728
1.94,0.1240783,-0.1704920,-0.9172012,0.3380517
1.96,0.1290254,-0.1808888,-0.9163995,0.3329318
1.98,0.1336646,-0.1914286,-0.9155475,0.3275082
2.00,0.1379748,-0.2021085,-0.9146451,0.3217755
2.02,0.1419346,-0.2129235,-0.9136924,0.3157283
2.04,0.1455226,-0.2238676,-0.9126897,0.3093606
2.06,0.1487174,-0.2349328,-0.9116373,0.3026667
2.08,0.1514976,-0.2461097,-0.9105357,0.2956403
2.10,0.1538421,-0.2573872,-0.9093854,0.2882752
2.12,0.1557302,-0.2687527,-0.9081869,0.2805648
2.14,0.1571417,-0.2801920,-0.9069406,0.2725026
2.16,0.1580570,-0.2916893,-0.9056467,0.2640821
2.18,0.1584574,-0.3032274,-0.9043053,0.2552965
2.20,0.1583250,-0.3147879,-0.9029160,0.2461392
2.22,0.1576429,-0.3263507,-0.9014781,0.2366037
2.24,0.1563952,-0.3378946,-0.8999902,0.2266834
2.26,0.1545675,-0.3493974,-0.8984506,0.2163720
2.28,0.1521464,-0.3608357,-0.8968565,0.2056634
2.30,0.1491200,-0.3721851,-0.8952045,0.1945517
2.32,0.1454779,-0.3834204,-0.8934901,0.1830313
2.34,0.1412111,-0.3945154,-0.8917078,0.1710970
2.36,0.1363122,-0.4054435,-0.8898511,0.1587440
2.38,0.1307752,-0.4161772,-0.8879120,0.1459681
2.40,0.1245960,-0.4266887,-0.8858814,0.1327654
2.42,0.1177720,-0.4369496,-0.8837489,0.1191329
2.44,0.1103023,-0.4469311,-0.8815025,0.1050683
2.46,0.1021878,-0.4566039,-0.8791289,0.0905699
2.48,0.0934310,-0.4659387,-0.8766133,0.0756370
2.50,0.0840365,-0.4749058,-0.8739393,0.0602699
2.52,0.0740104,-0.4834754,-0.8710892,0.0444700
2.54,0.0633610,-0.4916174,-0.8680439,0.0282400
2.56,0.0520984,-0.4993018,-0.8647828,0.0115836
2.58,-0.0402346,0.5064985,0.8612841,0.0054938
2.60,-0.0277841,0.5131777,0.8575246,0.0229853
2.62,-0.0147631,0.5193094,0.8534802,0.0408824
2.64,-0.0011903,0.5248641,0.8491258,0.0591748
2.66,0.0129132,0.5298127,0.8444354,0.0778501
2.68,0.0275243,0.5341264,0.8393825,0.0968941
2.70,0.0426169,0.5377771,0.8339401,0.1162903
2.72,0.0581628,0.5407378,0.8280811,0.1360200
2.74,0.0741310,0.5429821,0.8217783,0.1560623
2.76,0.0904879,0.5444852,0.8150050,0.1763936
2.78,0.1071975,0.5452234,0.8077350,0.1969883
2.80,0.1242208,0.5451749,0.7999431,0.2178179
2.82,0.1415166,0.5443199,0.7916052,0.2388518
2.84,0.1590408,0.5426407,0.7826989,0.2600568
2.86,0.1767473,0.5401221,0.7732036,0.2813977
2.88,0.1945873,0.5367518,0.7631011,0.3028367
2.90,0.2125104,0.5325204,0.7523753,0.3243343
2.92,0.2304638,0.5274220,0.7410134,0.3458491
2.94,0.2483936,0.5214541,0.7290055,0.3673381
2.96,0.2662442,0.5146180,0.7163450,0.3887571
2.98,0.2839593,0.5069192,0.7030292,0.4100609
3.00,0.3014819,0.4983671,0.6890589,0.4312038
3.02,0.3187549,0.4889755,0.6744390,0.4521397
3.04,0.3357214,0.4787625,0.6591784,0.4728229
3.06,0.3523250,0.4677505,0.6432901,0.4932082
3.08,0.3685109,0.4559662,0.6267912,0.5132517
3.10,0.3842253,0.4434406,0.6097027,0.5329108
3.12,0.3994170,0.4302087,0.5920494,0.5521449
3.14,0.4140368,0.4163094,0.5738600,0.5709157
3.16,0.4280387,0.4017849,0.5551664,0.5891876
3.18,0.4413796,0.3866811,0.5360036,0.6069282
3.20,0.4540201,0.3710465,0.5164096,0.6241085
3.22,0.4659246,0.3549323,0.4964245,0.6407028
3.24,0.4770615,0.3383915,0.4760906,0.6566896
3.26,0.4874034,0.3214791,0.4554519,0.6720511
3.28,0.4969272,0.3042511,0.4345532,0.6867738
3.30,0.5056140,0.2867644,0.4134402,0.7008480
3.32,0.5134495,0.2690761,0.3921589,0.7142682
3.34,0.5204234,0.2512433,0.3707552,0.7270329
3.36,0.5265297,0.2333224,0.3492744,0.7391444
3.38,0.5317666,0.2153691,0.3277608,0.7506086
3.40,0.5361357,0.1974376,0.3062576,0.7614349
3.42,0.5396426,0.1795809,0.2848066,0.7716358
3.44,0.5422961,0.1618499,0.2634475,0.7812266
3.46,0.5441081,0.1442934,0.2422184,0.7902253
3.48,0.5450932,0.1269583,0.2211550,0.7986523
3.50,0.5452689,0.1098887,0.2002907,0.8065296
3.52,0.5446545,0.0931266,0.1796567,0.8138811
3.54,0.5432718,0.0767109,0.1592816,0.8207317
3.56,0.5411438,0.0606785,0.1391917,0.8271077
3.58,0.5382956,0.0450632,0.1194107,0.8330356
3.60,0.5347529,0.0298965,0.0999601,0.8385425
3.62,0.5305429,0.0152069,0.0808589,0.8436556
3.64,0.5256936,0.0010209,0.0621238,0.8484019
3.66,0.5202335,-0.0126378,0.0437696,0.8528081
3.68,0.5141917,-0.0257480,0.0258088,0.8569001
3.70,0.5075977,-0.0382906,0.0082521,0.8607034
3.72,0.5004814,-0.0502488,-0.0088918,0.8642421
3.74,0.4928726,-0.0616080,-0.0256156,0.8675395
3.76,0.4848015,-0.0723558,-0.0419139,0.8706178
3.78,0.4762981,-0.0824818,-0.0577825,0.8734976
3.80,0.4673923,-0.0919774,-0.0732186,0.8761984
3.82,0.4581140,-0.1008360,-0.0882207,0.8787382
3.84,0.4484930,-0.1090530,-0.1027883,0.8811334
3.86,0.4385588,-0.1166255,-0.1169219,0.8833991
3.88,0.4283405,-0.1235524,-0.1306231,0.8855489
3.90,0.4178670,-0.1298341,-0.1438940,0.8875950
3.92,0.4071667,-0.1354732,-0.1567377,0.8895480
3.94,0.3962677,-0.1404734,-0.1691577,0.8914173
3.96,0.3851975,-0.1448404,-0.1811584,0.8932109
3.98,0.3739828,-0.1485815,-0.1927444,0.8949358
4.00,0.3626499,-0.1517052,-0.2039208,0.8965974
4.02,0.3512241,-0.1542219,-0.2146932,0.8982004
4.04,0.3397300,-0.1561433,-0.2250675,0.8997486
4.06,0.3281910,-0.1574824,-0.2350496,0.9012445
4.08,0.3166298,-0.1582536,-0.2446460,0.9026903
4.10,0.3050676,-0.1584725,-0.2538631,0.9040872
4.12,0.2935246,-0.1581557,-0.2627075,0.9054363
4.14,0.2820196,-0.1573212,-0.2711857,0.9067377
4.16,0.2705700,-0.1559874,-0.2793045,0.9079916
4.18,0.2591918,-0.1541738,-0.2870705,0.9091978
4.20,0.2478994,-0.1519007,-0.2944902,0.9103558
4.22,0.2367057,-0.1491885,-0.3015701,0.9114651
4.24,0.2256220,-0.1460583,-0.3083165,0.9125254
4.26,0.2146581,-0.1425315,-0.3147357,0.9135360
4.28,0.2038220,-0.1386295,-0.3208336,0.9144967
4.30,0.1931203,-0.1343737,-0.3266160,0.9154071
4.32,0.1825579,-0.1297854,-0.3320885,0.9162672
4.34,0.1721382,-0.1248860,-0.3372564,0.9170769
4.36,0.1618630,-0.1196961,-0.3421247,0.9178365
4.38,0.1517330,-0.1142362,-0.3466983,0.9185464
4.40,0.1417471,-0.1085263,-0.3509817,0.9192071
4.42,0.1319031,-0.1025858,-0.3549791,0.9198193
4.44,0.1221976,-0.0964336,-0.3586946,0.9203839
4.46,0.1126261,-0.0900877,-0.3621317,0.9209019
4.48,0.1031828,-0.0835660,-0.3652939,0.9213742
4.50,0.0938611,-0.0768852,-0.3681843,0.9218021
4.52,0.0846535,-0.0700616,-0.3708058,0.9221867
4.54,0.0755516,-0.0631110,-0.3731609,0.9225291
4.56,0.0665464,-0.0560483,-0.3752520,0.9228305
4.58,0.0576282,-0.0488880,-0.3770810,0.9230920
4.60,0.0487866,-0.0416442,-0.3786498,0.9233146
4.62,0.0400109,-0.0343302,-0.3799599,0.9234993
4.64,0.0312899,-0.0269592,-0.3810125,0.9236469
4.66,0.0226122,-0.0195438,-0.3818087,0.9237580
4.68,0.0139660,-0.0120966,-0.3823492,0.9238332
4.70,0.0053393,-0.0046298,-0.3826345,0.9238728
4.72,-0.0032799,0.0028445,-0.3826650,0.9238770
4.74,-0.0119037,0.0103142,-0.3824406,0.9238458
4.76,-0.0205442,0.0177671,-0.3819611,0.9237792
4.78,-0.0292133,0.0251912,-0.3812260,0.9236767
4.80,-0.0379229,0.0325740,-0.3802347,0.9235379
4.82,-0.0466845,0.0399028,-0.3789863,0.9233622
4.84,-0.0555093,0.0471646,-0.3774794,0.9231487
4.86,-0.0644083,0.0543461,-0.3757127,0.9228966
4.88,-0.0733919,0.0614333,-0.3736844,0.9226048
4.90,-0.0824698,0.0684121,-0.3713925,0.9222722
4.92,-0.0916514,0.0752674,-0.3688349,0.9218979
4.94,-0.1009451,0.0819838,-0.3660090,0.9214804
4.96,-0.1103587,0.0885451,-0.3629120,0.9210188
4.98,-0.1198990,0.0949345,-0.3595408,0.9205118
5.00,-0.1295720,0.1011346,-0.3558922,0.9199585
5.02,-0.1393826,0.1071274,-0.3519625,0.9193577
5.04,-0.1493343,0.1128941,-0.3477478,0.9187087
5.06,-0.1594298,0.1184155,-0.3432440,0.9180106
5.08,-0.1696703,0.1236718,-0.3384465,0.9172629
5.10,-0.1800556,0.1286425,-0.3333506,0.9164652
5.12,-0.1905841,0.1333070,-0.3279514,0.9156172
5.14,-0.2012530,0.1376441,-0.3222435,0.9147188
5.16,-0.2120575,0.1416326,-0.3162215,0.9137701
5.18,-0.2229915,0.1452510,-0.3098796,0.9127714
5.20,-0.2340474,0.1484779,-0.3032119,0.9117229
5.22,-0.2452158,0.1512919,-0.2962122,0.9106252
5.24,-0.2564857,0.1536718,-0.2888743,0.9094788
5.26,-0.2678447,0.1555970,-0.2811916,0.9082841
5.28,-0.2792787,0.1570472,-0.2731577,0.9070416
5.30,-0.2907720,0.1580027,-0.2647659,0.9057515
5.32,-0.3023076,0.1584448,-0.2560096,0.9044139
5.34,-0.3138669,0.1583555,-0.2468822,0.9030284
5.36,-0.3254303,0.1577177,-0.2373770,0.9015944
5.38,-0.3369766,0.1565156,-0.2274876,0.9001106
5.40,-0.3484835,0.1547346,-0.2172076,0.8985752
5.42,-0.3599278,0.1523612,-0.2065308,0.8969855
5.44,-0.3712852,0.1493835,-0.1954514,0.8953383
5.46,-0.3825305,0.1457908,-0.1839638,0.8936290
5.48,-0.3936376,0.1415740,-0.1720626,0.8918524
5.50,-0.4045800,0.1367256,-0.1597432,0.8900018
5.52,-0.4153302,0.1312396,-0.1470010,0.8880696
5.54,-0.4258605,0.1251117,-0.1338325,0.8860467
5.56,-0.4361424,0.1183390,-0.1202343,0.8839227
5.58,-0.4461471,0.1109208,-0.1062042,0.8816859
5.60,-0.4558456,0.1028575,-0.0917403,0.8793229
5.62,-0.4652084,0.0941518,-0.0768420,0.8768192
5.64,-0.4742059,0.0848078,-0.0615095,0.8741584
5.66,-0.4828082,0.0748318,-0.0457440,0.8713231
5.68,-0.4909854,0.0642317,-0.0295481,0.8682941
5.70,-0.4987073,0.0530174,-0.0129255,0.8650509
5.72,-0.5059440,0.0412011,0.0041186,0.8615719
5.74,-0.5126655,0.0287967,0.0215775,0.8578341
5.76,-0.5188419,0.0158205,0.0394426,0.8538133
5.78,-0.5244436,0.0022909,0.0577039,0.8494845
5.80,-0.5294415,-0.0117712,0.0763492,0.8448218
5.82,-0.5338068,-0.0263427,0.0953644,0.8397988
5.84,-0.5375113,-0.0413980,0.1147332,0.8343884
5.86,-0.5405279,-0.0569089,0.1344371,0.8285636
5.88,-0.5428302,-0.0728447,0.1544553,0.8222971
5.90,-0.5443932,-0.0891720,0.1747646,0.8155622
5.92,-0.5451931,-0.1058548,0.1953392,0.8083327
5.94,-0.5452081,-0.1228547,0.2161513,0.8005832
5.96,-0.5444180,-0.1401303,0.2371701,0.7922897
5.98,-0.5428050,-0.1576380,0.2583628,0.7834294
6.00,-0.5403537,-0.1753317,0.2796941,0.7739818
6.02,-0.5370516,-0.1931630,0.3011267,0.7639282
6.04,-0.5328891,-0.2110813,0.3226212,0.7532526
6.06,-0.5278599,-0.2290343,0.3441362,0.7419418
6.08,-0.5219612,-0.2469679,0.3656288,0.7299856
6.10,-0.5151941,-0.2648269,0.3870551,0.7173772
6.12,-0.5075637,-0.2825549,0.4083697,0.7041136
6.14,-0.4990791,-0.3000950,0.4295271,0.6901953
6.16,-0.4897538,-0.3173899,0.4504811,0.6756268
6.18,-0.4796054,-0.3343828,0.4711861,0.6604168
6.20,-0.4686561,-0.3510174,0.4915969,0.6445780
6.22,-0.4569322,-0.3672385,0.5116692,0.6281270
6.24,-0.4444644,-0.3829924,0.5313604,0.6110845
6.26,-0.4312874,-0.3982276,0.5506297,0.5934753
6.28,-0.4174397,-0.4128947,0.5694387,0.5753274
